CAP;Comune;Abitanti;Denominazione;Indirizzo;Proprieta;ComplessoSportivo;CodiceTipologiaImpianto;ImpiantoCoperto: Si/No;Lunghezza;Larghezza;Altezza;ProfonditaMinima(Piscina);ProfonditaMassima(Piscina);SpogliatoiAtleti;ServiziDiversamenteAbili;SpogliatogliArbitri;NumeroSpettatori;ServiziIgieniciSpettatori;ServiziIgieniciSpettatoriDiversamenteAbili;AdeguatoNormeDiSicurezza;Illuminazione;Parcheggi;RealizzatoFunzionante: Si/No;RealizzatoFunzionanteOmologato: Si/No
;;;NUOVO STADIO DE CRISTOFARO;VIA EPITAFFIO;COMUNE;Si;30;No;110;70;0;;;Si;Si;Si;9.000;Si;Si;Si;Si;Si;;Si
;;;S.M. 5°CIRC. SUCCURSALE;CORSO CAMPANO 408;COMUNE;;180;No;28;14;0;;;;;;0;;;;;;;No
;;;S.M. 5°CIRC. SUCCURSALE;CORSO CAMPANO 408;COMUNE;;190;Si;21;15;6;;;;;;0;;;Si;Si;;;No
;;;SCUOLA MEDIA CANTE;VICO MILANESE VIA VACCARO;COMUNE;;190;Si;40;20;6;;;Si;Si;;0;;;Si;Si;;;No
;;;SMS E LICEO CLASSICO A.GRAMSCI;VIA SELVA PICCOLA 61;COMUNE;;190;No;36;24;0;;;Si;Si;;0;;;Si;Si;;;No
;;;VECCHIO STADIO DE CRISTOFARO;VIA TENENTE BASILE;COMUNE;;30;No;110;55;0;;;Si;;Si;4.000;Si;;;Si;Si;;No
;;;VECCHIO STADIO DE CRISTOFARO;VIA TENENTE BASILE;COMUNE;;40;No;50;18,5;0;;;Si;Si;Si;0;;;;;Si;;No
80054;GRAGNANO;29.668;I.P.I.A. C./MARE  SEZ. GRAGNANO;VIA S.CROCE    1;PROVINCIA;;190;Si;21;13;7;;;Si;Si;;0;;;Si;Si;;;No
;;;CAMPO SPORTIVO  'S. MICHELE';VIA  SANTACROCE;COMUNE;;30;No;105;62,5;0;;;Si;;Si;300;Si;;;;;;Si
;;;GRAGNANO 1-UNGARETTI;VIA QUARANTOLA 8;COMUNE;;190;Si;20;9;7;;;;;;0;;;Si;Si;Si;;No
;;;GRAGNANO 2 CIRC. -VIA VITTORIO VENETO;VIA V. VENETO    18;COMUNE;;190;Si;22;13;5,5;;;;;;0;;;Si;Si;Si;;No
;;;PALLONE GEODETICO;VIA VITTORIO VENETO;COMUNE;;40;No;42;20;0;;;Si;Si;;0;;;Si;Si;Si;;No
;;;PALLONE GEODETICO;VIA VITTORIO VENETO;COMUNE;;190;Si;40,7;20,5;10;;;;;;392;Si;;Si;Si;;;Si
;;;S.M.S.  RONCALLI;VIA CROCE-;COMUNE;;180;No;18;9;0;;;;;;0;;;;;;;No
;;;S.M.S.  RONCALLI;VIA CROCE-;COMUNE;;180;No;40;20;0;;;;;;0;;;;;;;No
;;;S.M.S.  RONCALLI;VIA CROCE-;COMUNE;;190;Si;23;11;6;;;Si;Si;;0;;;Si;Si;;;No
;;;S.M.S. FUCINI - GRAGNANO-;VIA QUARANTOLA;COMUNE;;180;No;26;14;0;;;;;;0;;;;;;;No
;;;S.M.S. FUCINI - GRAGNANO-;VIA QUARANTOLA;COMUNE;;190;Si;28;13;7;;;Si;Si;;0;;;Si;Si;;;No
;;;SCUOLA MEDIA SIANI;PARCO IMPERIALE;COMUNE;;180;No;25;15;0;;;Si;Si;;0;;;;;;;No
;;;TENNIS - COMUNALE;VIA SANTACROCE    52;COMUNE;;320;No;46;26;0;;;;;;0;;;;Si;Si;;No
80028;GRUMO NEVANO;18.848;CAMPO CALCIO COMUNALE;VIALE GIOCHI OLIMPICI;COMUNE;;30;No;105;65;0;;;Si;Si;Si;500;Si;;Si;;Si;;No
;;;"IST.COMP. ""CIRILLO""";QUINTAVALLE;COMUNE;;190;Si;23,6;11,9;6;;;Si;Si;;0;;;Si;Si;Si;;No
;;;"IST.COMP. ""MATTEOTTI""";VIA MEUCCI;COMUNE;;190;Si;20;11,65;7;;;Si;;;0;;;Si;Si;Si;;No
80074;ISCHIA;18.105;"S.ELEM. ""MANZONI""";V.le PARADISIELLO;COMUNE;;180;No;20;15;0;;;;;;0;;;;;Si;;No
;;;"LICEO CLASSICO ""G. SCOTTI""";VIA M.MAZZELLA;PROVINCIA;;180;No;32;36;0;;;Si;Si;;0;;;;Si;Si;;No
;;;"LICEO CLASSICO ""G. SCOTTI""";VIA M.MAZZELLA;PROVINCIA;;190;Si;26;18;7;;;Si;Si;;0;;;Si;Si;Si;;No
;;;"- FONDO BOSSO I.P.S.A.R.""V.TELESE""";VIA FONDO BOSSO;COMUNE;;190;Si;30;21;8;;;Si;;Si;800;Si;;;Si;;;Si
;;;ATTREZZATURE COMUNALI BOCCE;VIA C. COLOMBO;COMUNE;;60;No;27;3;0;;;;;;0;;;;;;;No
;;;"CAMPO COMUNALE ""SPALATRIELLO""";VIA SPALATRIELLO;COMUNE;;40;No;44;24;0;;;Si;Si;;200;Si;;;Si;Si;;No
;;;CAMPO SPORTIVO COMUNALE 'RISPOLI';VIA DELLO STADIO;COMUNE;;30;No;110;60;0;;;Si;Si;Si;600;Si;;Si;Si;Si;;No
;;;NUOVO STADIO COMUNALE;VIA FONDO BOSSO;COMUNE;Si;11;Si;2,13;0;60;;;Si;Si;Si;5.000;Si;Si;Si;Si;Si;;Si
;;;NUOVO STADIO COMUNALE;VIA FONDO BOSSO;COMUNE;Si;11;No;18;10;0;;;Si;Si;Si;5.000;Si;Si;Si;Si;Si;;Si
;;;NUOVO STADIO COMUNALE;VIA FONDO BOSSO;COMUNE;Si;11;No;41;1,5;0;;;Si;Si;Si;5.000;Si;Si;Si;Si;Si;;Si
;;;NUOVO STADIO COMUNALE;VIA FONDO BOSSO;COMUNE;Si;11;No;45;1,5;0;;;Si;Si;Si;5.000;Si;Si;Si;Si;Si;;Si
;;;NUOVO STADIO COMUNALE;VIA FONDO BOSSO;COMUNE;Si;11;No;52;1,5;0;;;Si;Si;Si;5.000;Si;Si;Si;Si;Si;;Si
;;;NUOVO STADIO COMUNALE;VIA FONDO BOSSO;COMUNE;Si;11-dic;No;400;7,32;0;;;Si;Si;Si;5.000;Si;Si;Si;Si;Si;;Si
;;;NUOVO STADIO COMUNALE;VIA FONDO BOSSO;COMUNE;Si;30;No;105;65;0;;;Si;Si;Si;5.000;Si;Si;Si;Si;Si;;Si
;;;PALAZZETTO DELLO SPORT;VIA FONDO BOSSO;COMUNE;Si;190;Si;44;24;14;;;Si;Si;;1.200;Si;Si;Si;Si;Si;;Si
;;;PISCINA COMUNALE;VIA MAZZELLA;COMUNE;;200;No;25;12,5;6;1,1;1,6;Si;Si;Si;100;Si;;Si;Si;Si;;Si
;;;"S.ELEM.  ""BUONOCORE""   - PONTE";VIA NUOVA CARTAROMANA 7A;COMUNE;;190;Si;30;12;8;;;;;;0;;;Si;Si;;;No
;;;S.ELEM.- G. MARCONI;VIA CASCIARO 3;COMUNE;;190;Si;20;10;6,5;;;;;;0;;;Si;Si;;;No
;;;"S.M.S. ""SCOTTI""";VIA M.MAZZELLA 101;COMUNE;;190;Si;26;15;6;;;Si;Si;;0;;;Si;Si;;;No
;;;CAMPO DI CALCIO IN ERBA SINTETICA;VIA LUIGI DE ANGELIS;COMUNE;;30;NULL;;;;;;;;;;;;;;;;
80076;LACCO AMENO;4.319;CAMPO SPORTIVO COMUNALE;VIA PANNELLA;COMUNE;;30;No;110;70;0;;;Si;Si;Si;0;;;Si;Si;Si;;Si
80050;LETTERE;5.645;CAMPO SPORTIVO COMUNALE;VIA V. EMANUELE;COMUNE;;30;No;101,5;54,5;0;;;Si;;Si;900;Si;;Si;Si;Si;;No
;;;SILVIO PELLICO - LETTERE -;CORSO V. EMANUELE 24;COMUNE;;180;No;30;15,3;0;;;;;;200;;;;;Si;;No
;;;SILVIO PELLICO - LETTERE -;CORSO V. EMANUELE 24;COMUNE;;190;Si;25;14;7;;;Si;Si;;0;;;Si;Si;Si;;No
;;;VERDE ATTREZZATO  IMPIANTO SPORTIVO;VIA NUOVA DEPUGLIANO;COMUNE;;420;NULL;;;;;;;;;;;;;;;;
80030;LIVERI;1.782; Scuola Media COSTANTINI;VIA GAUDIELLO 4;COMUNE;;190;Si;24,5;12;6;;;Si;;;0;;;Si;Si;;;No
;;;CAMPO DI CALCIO;VIA DI PIANO;COMUNE;Si;30;No;100;70;0;;;Si;Si;Si;200;;;;;Si;No;
;;;POLIVALENTE;VIA DI PIANO;COMUNE;Si;200;No;25,5;12,5;0;1,3;2;Si;Si;Si;0;;;;;Si;;No
;;;S.ELEM.;VIA SOPRANO;COMUNE;;40;No;35;20;0;;;;;;0;;;;;Si;;No
;;;S.ELEM.;VIA SOPRANO;COMUNE;;190;Si;20;19,5;7;;;;;;0;;;Si;Si;Si;;No
;;;PISCINA COMUNALE;VIA DI PIANO;COMUNE;;200;NULL;;;;;;;;;;;;;;;;
80016;MARANO DI NAPOLI;58.529;"IST. MAG.""C. LEVI""- SUCCURSALE-";VIA G. FALCONE;PROVINCIA;;190;Si;14;5;4;;;Si;Si;;0;;;Si;Si;Si;;No
;;;"IST.MAG."" CARLO LEVI""";VIA  G. FALCONE;PROVINCIA;;190;Si;40;20;12;;;Si;Si;;0;;;Si;Si;Si;;No
;;;LICEO SCIENTIFICO SEGRE';VIA FALCONE 108;PROVINCIA;;190;Si;16;13;10;;;Si;Si;;0;;;Si;Si;Si;;No
;;;CIRC. DID. 2°PLESSO MALLARDO;VIA MALLARDO ;COMUNE;;180;No;23;9,5;0;;;;;;0;;;;;Si;;No
;;;CIRC. DID. 2°PLESSO MALLARDO;VIA MALLARDO ;COMUNE;;180;No;30;15;0;;;;;;0;;;;;Si;;No
;;;I° CIRCOLO DIDATTICO D'AMANZIO;TRIESTE E TRENTO 1;COMUNE;;180;No;32;16,2;0;;;;;Si;0;;;;Si;;;No
;;;II° CIRCOLO DIDATTICO RANUCCI;RANUCCI       13;COMUNE;;190;Si;21,5;11,2;7;;;;;;0;;;Si;Si;Si;;No
;;;IST. COMPRENSIVO DARMON;VIA MARANO PIANURA;COMUNE;;180;No;23;9;0;;;;;;0;;;;;Si;;No
;;;IST. COMPRENSIVO SOCRATE;VIA G. FAALCONE;COMUNE;;40;No;23;14;0;;;;;;0;;;;Si;Si;;No
;;;IST. COMPRENSIVO SOCRATE;VIA G. FAALCONE;COMUNE;;180;No;20;20;0;;;;;;0;;;;;Si;;No
;;;IST. COMPRENSIVO SOCRATE;VIA G. FAALCONE;COMUNE;;190;Si;27;15;9;;;Si;Si;;0;;;Si;Si;Si;;No
;;;PALAMARANO ;VIA G. FALCONE;COMUNE;;190;Si;32;19;7;;;Si;Si;Si;400;Si;Si;Si;Si;Si;;Si
;;;PIAZZA LIBERA;VIA G. BRUNO;COMUNE;;112;No;200;4;0;;;;;;0;;;;Si;Si;;No
;;;PIAZZA LIBERA;VIA G. BRUNO;COMUNE;;180;No;26;17;0;;;;;;0;;;;Si;Si;;No
;;;"S.M.S. ""V.ALFIERI""";VIA TAGLIAMENTO 8;COMUNE;;190;Si;25;16,5;6,75;;;Si;Si;;0;;;Si;Si;Si;;No
;;;"S.M.S."" M. D'AZEGLIO""";PIAVE       51;COMUNE;;180;No;32;20;0;;;Si;Si;;0;Si;Si;;;Si;;No
;;;"S.M.S."" M. D'AZEGLIO""";PIAVE       51;COMUNE;;190;Si;20;8;9;;;Si;Si;;280;Si;Si;Si;Si;Si;;No
;;;VILLA COMUNALE CIAURRO;VIA G. PEPE;COMUNE;;111;No;20;15;0;;;;;;0;;;;Si;Si;;No
;;;VILLETTA CARACCIOLO;VIA MARANO PIANURA;COMUNE;;60;Si;20;3;2,5;;;;;;0;;;;Si;Si;;No
;;;VILLETTA CARACCIOLO;VIA MARANO PIANURA;COMUNE;;180;No;25;16;0;;;;;;0;;;;Si;Si;;No
;;;VILLETTA DUCA D'AOSTA;VIA;COMUNE;;180;No;25;11;0;;;;;;0;;;;Si;;;No
;;;VILLETTA MALLARDO;VIA CAMPANIA;COMUNE;;40;No;24;10;0;;;Si;;;0;;;;Si;Si;;No
;;;VILLETTA PIAVE;VIA PIAVE 3;COMUNE;;60;No;20;3;0;;;;;;0;;;;Si;Si;;No
;;;NUOVO STADIO COMUNALE;VIA FALCONE;COMUNE;;11-dic;No;400;7,33;0;;;Si;Si;Si;1.000;Si;Si;Si;Si;Si;;Si
;;;NUOVO STADIO COMUNALE;VIA FALCONE;COMUNE;;20;NULL;105;68;0;;;Si;Si;Si;1.000;Si;Si;Si;Si;Si;;Si
;;;VILLETTA PIAVE;VIA PIAVE 3;COMUNE;;180;No;28;17;0;;;;;;0;;;;Si;Si;;No
80030;MARIGLIANELLA;6.347;IST. COMP.CARDUCCI;VIA TORINO;COMUNE;;190;Si;25;20;7,5;;;Si;Si;;0;;;Si;Si;Si;;No
;;;POLIVALENTE;VIA UMBERTO I°;COMUNE;;180;NULL;;;;;;;;;;;;;;;;
80034;MARIGLIANO;29.956;IPIA G.FERRARIS;VIA SETTEMBRINI I°TRAV.;PROVINCIA;;180;No;30;20;0;;;Si;;;0;;;;Si;;;No
;;;"ISTIT. TECN. COMM. GEOM. ""ROSSI DORIA""";VIA VENETO 6;PROVINCIA;;180;No;22;14;0;;;Si;Si;;0;;;;;Si;;No
;;;"ISTIT. TECN. COMM. GEOM. ""ROSSI DORIA""";VIA VENETO 6;PROVINCIA;;190;Si;26;16;8;;;Si;Si;;0;;;Si;Si;Si;;No
;;;LICEO SCIENTIFICO C.COLOMBO;VIA NUOVA DEL BOSCO 5;PROVINCIA;;180;No;21;12;0;;;;;;0;;;;Si;Si;;No
;;;LICEO SCIENTIFICO C.COLOMBO;VIA NUOVA DEL BOSCO 5;PROVINCIA;;180;No;28;20;0;;;;;;0;;;;Si;Si;;No
;;;LICEO SCIENTIFICO C.COLOMBO;VIA NUOVA DEL BOSCO 5;PROVINCIA;;180;No;31;20;0;;;;;;0;;;;Si;Si;;No
;;;LICEO SCIENTIFICO C.COLOMBO;VIA NUOVA DEL BOSCO 5;PROVINCIA;;190;Si;24;12;6;;;Si;Si;;0;;;Si;Si;Si;;No
;;;3°C.D. PONTECITARA;VIA PONTECITARA 219;COMUNE;;190;Si;13;12;7,5;;;;;;0;;;Si;Si;Si;;No
;;;CAMPO COMUNALE SANTA MARIA GRAZIE;VIA CAMPO SPORTIVO;COMUNE;;30;No;110;65;0;;;;;;0;;;;;;;
;;;MARIGLIANO 2 - LAUSDOMINI;CORSO CAMPANO 34;COMUNE;;190;Si;26,5;12;5;;;Si;Si;;0;;;Si;Si;Si;;No
;;;PALASPORT;VIA ROBERTO DE VITO;COMUNE;;190;Si;30;20;8,5;;;Si;;Si;600;Si;;;Si;Si;;Si
;;;S.M.S. ALGHIERI-PACINOTTI;VIA SAN F. D'ASSISI 64;COMUNE;;190;Si;20;10;6,5;;;Si;;;0;;;Si;Si;Si;;No
;;;S.M.S. ALIGHIERI-PACINOTTI (succ.);VIA PONTECITRA;COMUNE;;11;No;40;2;0;;;;;;0;;;;;Si;;No
;;;S.M.S. ALIGHIERI-PACINOTTI (succ.);VIA PONTECITRA;COMUNE;;180;No;20;14;0;;;;;;0;;;;;Si;;No
;;;S.M.S. ALIGHIERI-PACINOTTI (succ.);VIA PONTECITRA;COMUNE;;190;Si;12;12;7,5;;;Si;Si;;0;;;Si;Si;Si;;No
80040;MASSA DI SOMMA;6.059;CAMPO DI BOCCE COMUNALI;VIA VESERI;COMUNE;;60;Si;25,3;4;3;;;;;;0;;;;Si;;;No
;;;S.M.S.  G.L. RADICE;VIA SANTA 8;COMUNE;;180;No;30,2;18;0;;;Si;Si;;0;;;;Si;Si;;No
;;;S.M.S.  G.L. RADICE;VIA SANTA 8;COMUNE;;190;Si;23,6;11,6;7,5;;;Si;Si;;0;;;Si;Si;Si;;No
;;;STRUTTURA COMUNALE;VIA SANTA;COMUNE;;180;No;23;12,7;0;;;;;;0;;;;Si;Si;;No
80061;MASSA LUBRENSE;12.998;CIRCOLO NAUTICO;VIA A. VESPUCCI;STATO;;11;No;0;0;0;;;Si;;;0;;;;Si;Si;;Si
;;;CAMPO SPORTIVO COMUNALE;VIA ARENACCIA;COMUNE;;30;No;100;60;0;;;Si;Si;Si;300;Si;Si;;Si;Si;No;
;;;IST.COMP. - PULCARELLI-BOZZAOTRE;VIA REOLA;COMUNE;;190;Si;24;15;7,5;;;Si;;;0;;;Si;Si;Si;;Si
;;;IST.COMP. BOZZAOTRE-PULCARELLI;VIA ROMA  27;COMUNE;;180;No;18;9;0;;;;;;0;;;;;Si;;No
80017;MELITO DI NAPOLI;34.606;"2°C.D. ""G.FALCONE""";VIA ATENE;COMUNE;;180;No;19;12;0;;;;;;0;;;;;Si;;No
;;;"2°C.D. ""G.FALCONE""";VIA ATENE;COMUNE;;190;Si;19,1;11,9;7;;;;;;0;;;Si;Si;Si;;No
;;;AREA SPORTIVA COMMISSARIATO GOV AREA C3;VIA MADRID;COMUNE;;11-dic;No;15;15;0;;;Si;Si;;0;;;Si;Si;Si;;Si
;;;CAMPO SPORTIVO COMUNALE;VIA SIGNORELLI;COMUNE;;30;No;110;60;0;;;Si;Si;Si;300;Si;Si;Si;Si;Si;;Si
;;;COMPLESSO SPORTIVO SUBAREA C1 COMM. GOV.;VIA CUPA DI MELITO;COMUNE;;320;No;24;14;0;;;Si;Si;Si;0;;;Si;Si;Si;;Si
;;;PISCINA COPERTA COMMISSARIATO GOVERNO;VIA CUPA DI MELITO;COMUNE;;200;Si;25;12,5;5;1,4;1,85;Si;Si;Si;0;;;;;Si;;
;;;"S.M.S. ""S.ALERAMO""";VIA LAVINAIO;COMUNE;;11;No;100;7,35;0;;;Si;Si;;0;;;Si;Si;Si;;No
;;;"S.M.S. ""S.ALERAMO""";VIA LAVINAIO;COMUNE;;180;No;31;18;0;;;;;;0;;;;;Si;;No
;;;"S.M.S. ""S.ALERAMO""";VIA LAVINAIO;COMUNE;;190;Si;26,35;18;7,5;;;Si;Si;;0;;Si;Si;Si;Si;;No
;;;"S.M.S.""GUARANO""";VIA M. DELLE GRAZIE 1;COMUNE;;190;Si;25;14,15;7;;;Si;Si;;0;;Si;Si;Si;;;No
80062;META;8.250;CAMPO SPORTIVO COMUNALE;VIA M. RUGGIERO;COMUNE;;30;No;65;35;0;;;Si;Si;Si;200;Si;;Si;Si;Si;;Si
;;;IMPIANTO SPORTIVO POLIVALENTE;VIALE DELLE QUERCE;COMUNE;;60;No;22;5;0;;;Si;Si;Si;0;;;;Si;;;Si
;;;IMPIANTO SPORTIVO POLIVALENTE;VIALE DELLE QUERCE;COMUNE;;180;No;34;22;0;;;Si;Si;Si;600;Si;;Si;Si;;;Si
;;;LICEO CLASSICO MARONE;VIA FLAVIO GIOIA 7;COMUNE;;190;Si;18;14;5;;;Si;Si;;0;;;Si;Si;Si;;No
;;;"S.M.S. ""A. FIENGA""";VIA GUGLIELMO MARCONI 13;COMUNE;;11;No;100;4,8;0;;;;;;0;;;;;Si;;No
;;;"S.M.S. ""A. FIENGA""";VIA GUGLIELMO MARCONI 13;COMUNE;;180;No;26;20;0;;;;;;0;;;;;Si;;No
;;;"S.M.S. ""A. FIENGA""";VIA GUGLIELMO MARCONI 13;COMUNE;;190;Si;25,3;16;6;;;Si;;Si;0;;;Si;Si;Si;;No
80070;MONTE DI PROCIDA;13.705;OLIMPIA MOTONAUTICA M.DI PROCIDA;VIA  MARCONI  8;REGIONE;;130;No;0;0;0;;;Si;;;0;;;Si;Si;Si;;Si
;;;CAMPO COMUNALE;VIA TORRIONE;COMUNE;;30;No;108,4;59,7;0;;;Si;Si;Si;500;Si;Si;Si;Si;Si;;
;;;IST. VESPUCCI-;PANORAMICA;COMUNE;;190;Si;26;16;7;;;Si;Si;;0;;;Si;Si;Si;;No
;;;S. ELEM. DANTE ALIGHIERI;CORSO GARIBALDI 70;COMUNE;;190;Si;28,1;15,75;7;;;Si;Si;;700;Si;Si;Si;Si;Si;;No
80018;MUGNANO DI NAPOLI;30.012;ASS.BOCCIOFILA CITTA' DI MUGNANO;VIA MERCATO ITTICO 16;COMUNE;;60;Si;27,8;4;5;;;;;;0;;;;;;;No
;;;CAMPO DI CALCIO;via G. DI VITTORIO;COMUNE;;30;No;105;65;0;;;Si;Si;Si;1.000;Si;Si;Si;Si;Si;;Si
;;;CIRCOLO DIDATTICO n° 2 - G. SIANI -;VIA NAPOLI PARCO MENNA;COMUNE;;190;Si;17;12;7;;;;;;0;;;Si;Si;Si;;No
;;;COMPLESSO SPORTIVO MERIDIANA;VIA C. PAVESE;COMUNE;;40;No;36;18;0;;;Si;Si;;0;;;Si;Si;Si;;No
;;;S.M.S.   L. CIRINO;VIA MURELLE BOSCO;COMUNE;;180;No;30;18;0;;;Si;Si;;0;;;Si;Si;Si;;No
;;;S.M.S.   L. CIRINO;VIA MURELLE BOSCO;COMUNE;;190;Si;24;10;8;;;Si;Si;;0;;;Si;Si;Si;;No
;;;SCUOLA ELEMENTARE ;via Murelle n° 2;COMUNE;;190;Si;25;15;7;;;;;;0;;;Si;Si;;;No
;;;SCUOLA MEDIA F. ILLUMINATO;VIA NAPOLI       255;COMUNE;;180;No;34;17;0;;;Si;Si;;0;;;Si;Si;;;No
80100;NAPOLI;1.002.619;IMPIANTO NATATORIO AQUILA;C.SO SECONDIGLIANO;COMUNE;Si;180;No;34;22;0;;;;;;0;;;;Si;;;No
;;;IMPIANTO NATATORIO AQUILA;C.SO SECONDIGLIANO;COMUNE;Si;190;Si;32;20;7;;;Si;Si;Si;0;;;Si;Si;;;No
;;;IMPIANTO NATATORIO AQUILA;C.SO SECONDIGLIANO;COMUNE;Si;200;Si;25;12,5;7;1,3;1,8;Si;Si;Si;0;;;Si;Si;;;No
;;;PARCO PUBBLICO ;VIALE TRAIANO;COMUNE;;40;No;28;16;0;;;;;;0;;;;;Si;;No
;;;PARCO PUBBLICO ;VIALE TRAIANO;COMUNE;;150;No;30;18;0;;;;;;0;;;;;Si;;No
;;;PARCO PUBBLICO ;VIALE TRAIANO;COMUNE;;320;No;37;17;0;;;;;;0;;;;;Si;;No
;;;"L.CLASSICO ""UMBERTO I""";P.zza AMENDOLA;PROVINCIA;;190;Si;15,03;6,06;8;;;Si;Si;;0;;;Si;Si;;;No
;;;"L.CLASSICO ""UMBERTO I""";P.zza AMENDOLA;PROVINCIA;;190;Si;15,03;7,98;8;;;Si;Si;;0;;;Si;Si;;;No
;;;"L.CLASSICO ""UMBERTO I""";P.zza AMENDOLA;PROVINCIA;;190;Si;18;16,3;8;;;Si;Si;;0;;;Si;Si;;;No
;;;"L. SC. ST. ""MERCALLI""";VIA ANDREA D'ISERNIA  34;PROVINCIA;;180;No;30,6;17,43;0;;;Si;Si;;0;;;Si;Si;;;No
;;;"L. SC. ST. ""MERCALLI""";VIA ANDREA D'ISERNIA  34;PROVINCIA;;190;Si;24;11,9;7;;;Si;Si;;0;;;Si;Si;;;No
;;;"IST. COMP. ""FIORELLI"" succ.";VIA T. CAMPANELLA 1;COMUNE;;190;Si;24,2;12,6;7;;;Si;Si;;0;;;Si;Si;;;No
;;;CIRCOLO NAUTICO POSILLIPO;VIA POSILLIPO 3;STATO;Si;90;No;0;0;0;;;Si;Si;;0;;;Si;;;;Si
;;;CIRCOLO NAUTICO POSILLIPO;VIA POSILLIPO 3;STATO;Si;80;No;0;0;0;;;Si;Si;;0;;;Si;;;;Si
;;;CIRCOLO NAUTICO POSILLIPO;VIA POSILLIPO 3;STATO;Si;190;Si;15,7;10,4;4,5;;;Si;Si;;0;;;Si;Si;;;No
;;;CIRCOLO NAUTICO POSILLIPO;VIA POSILLIPO 3;STATO;Si;200;Si;25;15;4;;;Si;Si;Si;0;;;Si;Si;;;No
;;;CIRCOLO NAUTICO POSILLIPO;VIA POSILLIPO 3;STATO;Si;320;No;36,3;18,5;0;;;Si;Si;Si;0;;;Si;Si;;;Si
;;;CIRCOLO NAUTICO POSILLIPO;VIA POSILLIPO 3;STATO;Si;360;No;0;0;0;;;Si;Si;;0;;;Si;;;;Si
;;; S.M.S. MARECHIARO ;VIA MARECHIARO;COMUNE;;190;No;12;10;5;;;Si;Si;;0;;;Si;Si;;;Si
;;;CAMPO SPORTIVO VIRGILIANO;VIA DEL PARCO VIRGILIANO 2;COMUNE;;11;No;2,15;0;0;;;Si;;;1.000;Si;Si;Si;Si;Si;;Si
;;;CAMPO SPORTIVO VIRGILIANO;VIA DEL PARCO VIRGILIANO 2;COMUNE;;11;No;2,5;0;0;;;Si;;;1.000;Si;Si;Si;Si;Si;;Si
;;;CAMPO SPORTIVO VIRGILIANO;VIA DEL PARCO VIRGILIANO 2;COMUNE;;11;No;30,1;23,7;0;;;Si;;;1.000;Si;Si;Si;Si;Si;;Si
;;;CAMPO SPORTIVO VIRGILIANO;VIA DEL PARCO VIRGILIANO 2;COMUNE;;11;No;30,7;3,5;0;;;Si;;;1.000;Si;Si;Si;Si;Si;;Si
;;;CAMPO SPORTIVO VIRGILIANO;VIA DEL PARCO VIRGILIANO 2;COMUNE;;11;No;80,5;4,3;0;;;Si;;;1.000;Si;Si;Si;Si;Si;;Si
;;;CAMPO SPORTIVO VIRGILIANO;VIA DEL PARCO VIRGILIANO 2;COMUNE;;11;No;83,7;2,5;0;;;Si;;;1.000;Si;Si;Si;Si;Si;;Si
;;;CAMPO SPORTIVO VIRGILIANO;VIA DEL PARCO VIRGILIANO 2;COMUNE;;11-dic;No;400;7;0;;;Si;Si;;1.000;Si;Si;Si;Si;Si;;Si
;;;CENTRO UNIVERSITARIO SPORTIVO;VIA CAMPEGNA         5;STATO;Si;11;Si;2,15;0;30;;;Si;Si;Si;1.500;Si;Si;Si;Si;Si;;Si
;;;CENTRO UNIVERSITARIO SPORTIVO;VIA CAMPEGNA         5;STATO;Si;11;Si;2,5;0;70;;;Si;Si;Si;1.500;Si;Si;Si;Si;Si;;Si
;;;CENTRO UNIVERSITARIO SPORTIVO;VIA CAMPEGNA         5;STATO;Si;11;No;30;20;0;;;Si;Si;Si;1.500;Si;Si;Si;Si;Si;;Si
;;;CENTRO UNIVERSITARIO SPORTIVO;VIA CAMPEGNA         5;STATO;Si;11;No;78;1,2;0;;;Si;Si;Si;1.500;Si;Si;Si;Si;Si;;Si
;;;CENTRO UNIVERSITARIO SPORTIVO;VIA CAMPEGNA         5;STATO;Si;11-dic;No;400;7,32;0;;;Si;Si;Si;1.500;Si;Si;Si;Si;Si;;Si
;;;CENTRO UNIVERSITARIO SPORTIVO;VIA CAMPEGNA         5;STATO;Si;30;No;100;65;0;;;Si;Si;Si;1.500;Si;Si;Si;Si;Si;;Si
;;;CENTRO UNIVERSITARIO SPORTIVO;VIA CAMPEGNA         5;STATO;Si;180;No;40;20;0;;;Si;Si;Si;300;Si;Si;Si;Si;Si;;Si
;;;CENTRO UNIVERSITARIO SPORTIVO;VIA CAMPEGNA         5;STATO;Si;320;No;36;18;0;;;Si;Si;Si;0;;;Si;Si;Si;;Si
;;;CENTRO UNIVERSITARIO SPORTIVO;VIA CAMPEGNA         5;STATO;Si;190;Si;34;26;;;;Si;Si;Si;SI;;;;Si;Si;;No
;;;CENTRO UNIVERSITARIO SPORTIVO;VIA CAMPEGNA         5;STATO;Si;320;No;36,27;18,4;7;;;Si;Si;Si;400;Si;Si;Si;Si;Si;;Si
;;;CENTRO UNIVERSITARIO SPORTIVO;VIA CAMPEGNA         5;STATO;Si;200;No;25;12,5;5;1,6;2;Si;Si;Si;100;Si;Si;Si;Si;Si;;Si
;;;CENTRO UNIVERSITARIO SPORTIVO;VIA CAMPEGNA         5;STATO;Si;180;No;40;20;0;;;Si;Si;Si;500;Si;Si;Si;Si;Si;;Si
