COMUNE AZIENDA;TITOLARE;DENOMINAZIONE AZIENDA;INDIRIZZO AZIENDA;POSTI LETTO;POSTI MACCHINA;POSTI TENDA;POSTI ROULOTTE;RECAPITI
NAPOLI;FESTA BIAGIO;IL TIRONE;VIA TIRONE, 4;;;;;nd
NAPOLI;LUBRANO LO BIANCO  MARIA CAROLINA;MASSERIA DEL BORRO S.R.L..;VIA VICINALE CAVONE DEGLI SBIRRI - SOCCAVO -;;;;;nd
NAPOLI;IMBRIANO FRANCESCO;IMBRIANO FRANCESCO;VIA CROCE A CHIAIANO, 28;5;40;;;nd
NOLA;SALIER DE LA TOUR GHERARDO;BAGHERA SRL;VIA CASTEL CICALA 5 LOC. TORRETTA;12;60;;;info@castelcicala.com
PALMA CAMPANIA;RUBINACCI CANDIDO;TENUTA RUBINACCI;VIA VECCHIA SARNO,171;;40;;;info@tenutarubinacci.eu
PIANO DI SORRENTO;INSERRA ANGELA;PICCOLO PARADISO;VIA NASTRO AZZURRO, 19;14;41;;;info@piccoloparadiso.net
PIANO DI SORRENTO;CACACE GIULIA;VILLA CAFIERO;VIA ARTEMANO, 40 - LOC. COLLI SAN PIETRO;10;100;;;info@villacafiero.it
PIANO DI SORRENTO;PERSICO MARIO;ANTICO CASALE;LOC. CERMENNA, 45;18;45;;;info@ilcasaleantico.com
PIANO DI SORRENTO;AVERSA GAETANO;BELVEDERE;VIA NASTRO AZZURRO, 9;8;;;;nd
PIANO DI SORRENTO;FIORENTINO MICHELE;OASI VERDE SAS di MICHELE FIORENTINO & C.;VIA MARTORA - SAN LIBORIO, 156;;;;;info@oasiverdeagricampeggiosorrento.it
PIANO DI SORRENTO;DE ANGELIS GUGLIELMO;L'ANTICO AGRUMETO;VIA BAGNULO 243;6;;;;nd
PIANO DI SORRENTO;DEL GIUDICE ANTONELLA;L'OLIVARA;VIA GALATEA, 16;4;15;;;aganto1@libero.it
PIANO DI SORRENTO;STAIANO STEFANO;STAIANO STEFANO;VIA NASTRO AZZURRO,25;4;;;;nd
POGGIOMARINO;CATAPANO ANTONIO;IL COCCHIERE;VIA PINO DEL PRINCIPE;4;20;;;info@ilcocchiere.it
POLLENA TROCCHIA;CIRIELLO ANGELA;LA VIGNA;VIGNA,22;9;40;;;nd
POMPEI;SANSONE FRANCESCO;VIVINATURA;VIA PONTE IZZO,49;12;50;;;www.agriturismo.vivinatura.it
POZZUOLI;IOVINO ANTONIO;MONTE SPINA;S.GENNARO AGNANO,63;;40;;;iovino.an@tiscali.it
POZZUOLI;BAIANO VIRGINIA;BAIANO VIRGINIA;VIA MONTERUSCIELLO, 33/I;10;;;;agribaiano@libero.it
POZZUOLI;DI FRANCIA SALVATORE;SAN MARTINO;VIA PIETRARSE,17;47;43;;;misagisrl@pec.it
POZZUOLI;DE CHIARA STELLA;IL GIARDINO DELL'ORCO;VIA PROVINCIALE LAGO D'AVERNO LOC. CANNETO,11;;10;;;nd
QUALIANO;CAMPANILE MARIA;MASSERIE LE GROTTE;VIA CIRCUMVALLAZIONE ESTERNA- LOC. LE GROTTE;;40;;;nd
QUARTO;BAIANO MARIA;BAIANO MARIA;VIA D.PETRI, 7;18;;;;nd
QUARTO;BAIANO RACHELE;BAIANO RACHELE;VIA D. PETRI, 7/A;9;;;;nd
SAVIANO;NUNZIATA IMMACOLATA;TENUTA LA MARCA;VIA SAN FRANCESCO DI ASSISI, SNC;;60;;;nd
S. AGNELLO;MICCIO CHERUBINA;GLI ULIVI;VIA PASSARANO,1;4;;;;gliulivi@virgilio.it
S.ANASTASIA;DI SARNO ANTONIO LUCIO;DI SARNO ANTONIO LUCIO;loc. san martino;5;40;;;nd
S. ANTONIO ABATE;CANNAVACCIUOLO MARIACONSIGLIA;VILLA PALMENTIELLO;VIA PESATURO 6/B;16;260;;;info@villapalmentiello.it
SAN GIUSEPPE VESUVIANO;BIFULCO GIUSEPPE;BIFULCO GIUSEPPE;VIA TELESI � C.DA CESA, SNC;;45;;;nd
S. SEBASTIANO AL VESUVIO;SORRENTINO ANNA;BEL VESUVIO INN;PANORAMICA FELLAPANE, 4O;8;40;;;www.agriturismo.belvesuvioinn.it
S. SEBASTIANO AL VESUVIO;MIGLIACCIO CIRO;VULCANO;VIA FLAUTI, 8;;50;;;info@agriturismovulcano.it
SCISCIANO;ARDOLINO LUCIA;AGRITURISMO LA MONTAGNA;VIA ROSSI, 60;;80;;;enricolamontagna@libero.it
SERRARA FONTANA;IACONO ARIANNA;LA IESCA;LA IESCA PRIMA DI ISCHIA;;70;;;nd
SERRARA FONTANA;TAGLIUOLO TIZIANA;TAGLIUOLO;VIA CUOTTO;10;25;;;nd
SOMMA VESUVIANA;IOVINO ANIELLO;LA CORTIGGIANA DEL RE SRL;VIA BIANCHETTO,10;;130;;;iovinoaniello0@gmail.com
SOMMA VESUVIANA;DI MADERO MARCO;CHIARO DI LUNA;II�TRAV BOSCO;8;70;;;nd
SOMMA VESUVIANA;LA MARCA SALVATORE;SOC. SCUDERIA MONTE SOMMA S.A.S. DI LA MARCA SALVATORE & C.;VIA BOSCO, 15;12;38;3;3;nd
SOMMA VESUVIANA;BENEDUCE LUIGI;BENEDUCE;VIA FORNARI,2  FRAZ. MASSERIA PANICO;;10;;;BENEDUCE.LUGI@PEC.IT
SORRENTO;POLLIO ANNA MARIA;SOCIETA' �VILLA PANE RESORT� SRL;VIA BARANICA, 13;18;20;;;info@villapane.com
SORRENTO;MARCIANO ANTONINO;LA SORGENTE;VIA ATIGLIANA, 18;;;;;nd
SORRENTO;ZARONE ALESSANDRO;REGINA GIOVANNA S.R.L.;VIA CALATA PUOLO, 1;18;20;;;nd
SORRENTO;ACAMPORA LUIGI;FONDO PUOLO � CHAMPAGNE S.R.L.;VIA CALATA PUOLO, 2;10;10;;;nd
SORRENTO;D'ANTUONO GIUSEPPINA;L'ANGOLO DI PARADISO;VIA MONTICELLO, 2;4;30;;;nd
SORRENTO;ESPOSITO PASQUALE;LE GROTTELLE;VIA ZATRI,3;4;60;;;nd
SORRENTO;ESPOSITO MARIA;CASA ESPOSITO;VIA CAMPAGNANO, 16;;20;;;nd
SORRENTO;GALANO OSVALDO;GALANO OSVALDO;VIA CAMPAGNANO,5;;10;;;nd
SORRENTO;ASTARITA  VINCENZO;I GIARDINI DI SORRENTO;VIA RIVEZZOLI,10;2;10;;;nd
TORRE DEL GRECO;DE LUCA PAOLO;SOCIETA' AGRICOLA LE FORNACELLE A.R.L.;VIA LUPO VECCHIO, 24;12;40;6;;nd
TORRE DEL GRECO;SIMONETTI GABRIELE;SOCIETA' DOMUS AGRICOLA CORALLINA DAC;CUPA LUPO VECCHIO,4;;30;;;nd
VICO EQUENSE;CACCIOPPOLI GIOVANNI;SOC.COOP.SSA NONNO LUIGINO;VIA DON BOSCO,392-BORGATA MASSAQUANO;16;102;;;info@nonnoluigino.com
VICO EQUENSE;RISPOLI GIOVANNA;MASSERIA ASTAPIANA;VIA CAMALDOLI,51;12;40;;;astapiana@tin.it
VICO EQUENSE;CASO ANTONINO;LA PIANA;VIA AIELLO,9 AROLA;12;100;;;info@lachiana.it
VICO EQUENSE;IACCARINO MARIA;LA SELVA;VIA CAMALDOLI,51E;10;46;;;info@laselvasorrento.com
VICO EQUENSE;CELENTANO TERESA;LA SORGENTE DEL MELO;VIA TESSA6-MOIANO-S.MARIA DEL CASTELLO;12;51;;;info@lasorgentedelmelo.it
VICO EQUENSE;VANACORE ANTONIETTA;LA GINESTRA;VIA TESSA2-MOIANO-S.MARIA DEL CASTELLO;15;60;;;info@laginestra.org
VICO EQUENSE;PERSICO OLIMPIA;IL BALCONE SUL GOLFO;VIA TICCIANO,40;12;25;;;info@ilbalconesulgolfo.it
VICO EQUENSE;SAVARESE LETIZIA;CASTANITO;VIA MADONNA DELLE GRAZIE,4/O;10;50;;;agriturismocastanito@virgilio.it
VICO EQUENSE;CUOMO CONCETTA;LA CANTINA DEL FATTORE;VIA R.BOSCO, 286/MASSAQUANO;;70;;;nd
VICO EQUENSE;DILENGITE RAFFAELE;SELLARULO;VIA TICCIANO,70/d LOC. SELLARULO O PIZZO MONTE;4;10;;;rdilengite@pec.it
VICO EQUENSE;CILENTO ANTONIO;IL CASALE DEL GOLFO;VIA R. BOSCO,448;;86;;;agri.cilento@pec.it
