Codice_Isil;Codice_Sbn;Denominazione;Indirizzo;Frazione;Cap;Comune;Codice_Istat_Comune;Provincia;Regione;Codice_Istat_Provincia;Latitudine;Longitudine;Telefono;Cellulare;Fax;Email;Url;Tipologia_Funzionale;Denominazione_Ente;Tipologia_Amministrativa
IT-AV0015;CAMBI;Biblioteca comunale;piazza Francesco Napolitano;null;83022;Baiano;64010;Avellino;CAMPANIA;64;409.516.927;146.190.866;818243041;null;818244345;biblioteca@comune.baiano.av.it;www.comune.baiano.av.it/;Pubblica;Comune di Baiano;Comune
IT-AV0017;CAMBO;Biblioteca comunale Crescenzo Miletti;piazza Martiri di guerra - c/o Convento Sant'Antonio;null;83032;Bonito;64012;Avellino;CAMPANIA;64;411.026.563;15.004.252;825422054;null;825422790;biblioteca@comunedibonito.it;www.comunedibonito.it/portale/cultura-e-storia/biblioteca-comunale/;Importante non specializzata;Comune di Bonito;Comune
IT-AV0019;null;Biblioteca comunale. Centro di lettura;Via Costantinopoli;null;83040;Calabritto;64014;Avellino;CAMPANIA;64;407.841.343;152.200.173;82752782;null;null;null;null;Pubblica;Comune di Calabritto;Comune
IT-AV0021;null;Biblioteca comunale;Vico Tornillo, 4 - Via Pasquale Berrilli, 5;null;83045;Calitri;64015;Avellino;CAMPANIA;64;409.008.925;154.380.075;827318703;null;827318717;protocollo@comune.calitri.av.it;null;Pubblica;Comune di Calitri;Comune
IT-AV0022;null;Biblioteca comunale;via dott. Stefano Melina, s. n. c.;null;83040;Carife;64019;Avellino;CAMPANIA;64;410.283.321;152.090.632;82795014;null;82795476;null;www.comune.carife.av.it/index.php?action=index&p=1;Pubblica;Comune di Carife;Comune
IT-AV0023;null;Biblioteca del Centro di lettura;Via Croce 12;null;83040;Cassano Irpino;64021;Avellino;CAMPANIA;64;408.702.738;150.272.316;82766146;null;null;null;null;Pubblica;Comune di Cassano Irpino;Comune
IT-AV0024;null;"Biblioteca comunale ""Pasquale Stanislao Mancini""";Piazza Dante, 1;null;83040;Castel Baronia;64022;Avellino;CAMPANIA;64;410.464.235;151.851.481;82792008;null;82792601;biblioteca@comunecastelbaronia.it;www.comunecastelbaronia.it/biblioteca-comunale-di-castel-baronia-p-s-mancini/;Pubblica;Comune di Castel Baronia;Comune
IT-AV0026;null;Biblioteca comunale Pasquale Landolfi;Piazza Municipio;null;83040;Castelfranci;64023;Avellino;CAMPANIA;64;409.317.366;150.426.985;82772005;null;null;null;null;Pubblica;Comune di Castelfranci;Comune
IT-AV0027;null;Biblioteca comunale Mons. Salvatore Favati;via Provinciale per San Michele, 21;null;83020;Cesinali;64026;Avellino;CAMPANIA;64;409.184.545;148.350.801;825666358;null;825666289;bibliotecacesinali@virgilio.it;www.comune.cesinali.av.it/index.php?action=index&p=223;Pubblica;Comune di Cesinali;Comune
IT-AV0028;null;Biblioteca comunale;Via Provinciale;null;83020;Contrada;64029;Avellino;CAMPANIA;64;408.640.526;147.790.865;825674081;null;null;null;null;Pubblica;Comune di Contrada;Comune
IT-AV0029;null;Biblioteca comunale Francesco Antonio Cappone;Via Leonardo da Vinci;null;83040;Conza della Campania;64030;Avellino;CAMPANIA;64;408.576.103;153.344.427;82739013;null;null;null;null;Pubblica;Comune di Conza della Campania;Comune
IT-AV0031;null;Biblioteca comunale Nicola Boscero;via De Chinno, s. n. c.;null;83040;Flumeri;64032;Avellino;CAMPANIA;64;410.760.492;151.519.998;825443013;null;825443482;info@comunediflumeri.it;null;Pubblica;Comune di Flumeri;Comune
IT-AV0032;null;Biblioteca comunale;contrada Pezza Mastrillo;null;83040;Fontanarosa;64033;Avellino;CAMPANIA;64;410.157.032;150.157.905;825475587;null;825476040;segreteria@comune.fontanarosa.av.it;www.fontanarosa.gov.it/index.php?option=com_content&view=article&id=20&Itemid=48&jjj=1502972848377;Pubblica;Comune di Fontanarosa;Comune
IT-AV0034;null;Biblioteca comunale;Via Annunziata 59;null;83020;Forino;64034;Avellino;CAMPANIA;64;408.598.534;147.429.257;825761012;null;null;null;null;Pubblica;Comune di Forino;Comune
IT-AV0035;null;Biblioteca comunale Carlo Gesualdo;Via Cappuccini;null;83040;Gesualdo;64036;Avellino;CAMPANIA;64;410.055.133;150.757.705;825401003;null;null;null;null;Pubblica;Comune di Gesualdo;Comune
IT-AV0036;NAPBG;Biblioteca comunale Padre Leonardo De Martino;Via MIchelangelo Buonarroti, 9;null;83030;Greci;64037;Avellino;CAMPANIA;64;41.253.237;15.169.393;825861196;null;825861042;Protocollo.greci@asmepec.it;www.comune.greci.av.it;Importante non specializzata;Comune di Greci;Comune
IT-AV0037;null;Biblioteca comunale Antonio Di Pietro;Piazza A. Maglio 1;null;83010;Grottolella;64039;Avellino;CAMPANIA;64;40.972.851;147.869.183;825671017;null;null;null;null;Pubblica;Comune di Grottolella;Comune
IT-AV0038;CAMUN;Biblioteca comunale associata U.N.L.A.;via Beveri;null;83040;Guardia Lombardi;64040;Avellino;CAMPANIA;64;409.537.822;152.075.904;82741297;null;82741440;bibliotecaguardia@libero.it;null;Pubblica;Comune di Guardia Lombardi;Comune
IT-AV0040;null;Biblioteca comunale;Via G. Amendola - Rione M. Bianchi;null;83046;Lacedonia;64041;Avellino;CAMPANIA;64;410.538.463;154.302.383;82785051;null;null;null;null;Pubblica;Comune di Lacedonia;Comune
IT-AV0041;null;Biblioteca comunale monsignor Cesare Carbone;Via S. Antonio;null;83030;Lapio;64042;Avellino;CAMPANIA;64;409.808.193;149.490.705;825982005;null;null;null;null;Pubblica;Comune di Lapio;Comune
IT-AV0042;null;Biblioteca comunale Filippo Lupo;Piazza Nobile;null;83023;Lauro;64043;Avellino;CAMPANIA;64;408.799.035;146.336.428;818240403;null;null;null;null;Pubblica;Comune di Lauro;Comune
IT-AV0044;NAP39;Biblioteca comunale Gaetano Soriano;via Querce Nuove, 2;null;83047;Lioni;64044;Avellino;CAMPANIA;64;408.933.125;151.883.593;827270017;null;827270017;bibliotecalioni@libero.it;www.facebook.com/biblioteca.comunalegsoriano;Pubblica;Comune di Lioni;Comune
IT-AV0045;NAPMV;Biblioteca Pubblica Statale annessa al Monumento nazionale di Montevergine;Palazzo abbaziale di Loreto - Via Domenico Antonio Vaccaro, 1;null;83013;Mercogliano;64049;Avellino;CAMPANIA;64;409.199.555;147.487.263;825787191;null;825789086;bmn-mnv@beniculturali.it;null;Specializzata;Ministero dei beni e delle attività culturali e del turismo;Direzione Generale Biblioteche e Istituti Culturali
IT-AV0047;null;Biblioteca conventuale Maria Immacolata;Oasi Maria Immacolata;null;83037;Montecalvo Irpino;64052;Avellino;CAMPANIA;64;411.810.711;149.973.028;825818026;null;null;null;null;Specializzata;Frati minori OFM. Convento S. Antonio di Montecalvo Irpino;Enti ecclesiastici
IT-AV0048;null;Biblioteca comunale;via Fano, 18;null;83037;Montecalvo Irpino;64052;Avellino;CAMPANIA;64;411.952.691;150.336.264;825818083;null;825819281;uffici@comune.montecalvoirpino.av.it;www.comune.montecalvoirpino.av.it/;Pubblica;Comune di Montecalvo Irpino;Comune
IT-AV0049;null;Biblioteca comunale Michelangelo Petruzziello;Via Cardinale Dell’olio, 7;null;83030;Montefalcione;64053;Avellino;CAMPANIA;64;409.617.888;148.843.362;825973021;null;825973780;protocollo@comune.montefalcione.av.it;null;Pubblica;Comune di Montefalcione;Comune
IT-AV0050;null;Biblioteca comunale;Piazza Umberto I;null;83024;Monteforte Irpino;64054;Avellino;CAMPANIA;64;408.924.975;147.118.818;825753063;null;825753063;bibliotecamonteforteirpino@gmail.com;www.halleyweb.com/c064054/zf/index.php/uffici/index/detail/categoria/154/id/9;Pubblica;Comune di Monteforte Irpino;Comune
IT-AV0051;null;Centro di lettura Arcella;Via Nazionale Arcella;Arcella;83030;Montefredane;64055;Avellino;CAMPANIA;64;409.754.879;148.494.721;0null;null;null;null;null;Pubblica;Comune di Montefredane;Comune
IT-AV0052;null;Biblioteca comunale;Via Roma;null;83030;Montefredane;64055;Avellino;CAMPANIA;64;409.627.597;148.120.622;825672280;null;null;null;null;Pubblica;Comune di Montefredane;Comune
IT-AV0053;NAPMN;Biblioteca comunale;Piazza Bartoli 32;null;83048;Montella;64057;Avellino;CAMPANIA;64;408.427.248;150.173.408;827609006;null;827601303;biblioteca@comunemontella.it;www.sistemabibliotecheirpine.it/montella/index.htm;Pubblica;Comune di Montella;Comune
IT-AV0055;null;Biblioteca comunale;Piazza del Popolo;null;83040;Montemarano;64058;Avellino;CAMPANIA;64;409.198.402;149.968.729;82763012;null;null;null;null;Pubblica;Comune di Montemarano;Comune
IT-AV0056;null;Biblioteca comunale Giuseppe Leonida Capobianco;Via Fontana;null;83049;Monteverde;64060;Avellino;CAMPANIA;64;410.001.413;155.328.471;82786043;null;null;null;null;Pubblica;Comune di Monteverde;Comune
IT-AV0058;null;Biblioteca comunale;Piazza R. Stingone;null;83027;Mugnano del Cardinale;64065;Avellino;CAMPANIA;64;409.423.618;14.640.373;818257700;null;null;null;null;Pubblica;Comune di Mugnano del Cardinale;Comune
IT-AV0060;null;Biblioteca comunale;Piazza Vescovado;null;83051;Nusco;64066;Avellino;CAMPANIA;64;40.887.871;150.847.178;82764942;null;82764211;null;null;Pubblica;Comune di Nusco;Comune
IT-AV0063;null;Biblioteca comunale;Via Melfi;null;83050;Parolise;64069;Avellino;CAMPANIA;64;409.311.647;14.882.383;825981031;null;null;null;null;Pubblica;Comune di Parolise;Comune
IT-AV0064;NAPFL;Biblioteca comunale Felice De Leo;Via Fiorentino Troisi;null;83052;Paternopoli;64070;Avellino;CAMPANIA;64;4.097.418.625;1.503.276.796;82771002;null;82771879;comunepaternopoli@asmepec.it;www.comune.paternopoli.av.it;Pubblica;Comune di Paternopoli;Comune
IT-AV0065;null;Biblioteca comunale Clara Stefania Petrillo;Via Provinciale, snc;San Michele;83039;Pratola Serra;64075;Avellino;CAMPANIA;64;409.867.313;148.524.831;0825 967067;null;825967815;biblioteca@pratolaserra.gov.it;null;Pubblica;Comune di Pratola Serra;Comune
IT-AV0066;null;Biblioteca comunale Alessandro Manzoni;Via Banda di Luccaro;null;83050;Salza Irpina;64081;Avellino;CAMPANIA;64;409.184.293;148.921.543;825981175;null;null;null;null;Pubblica;Comune di Salza Irpina;Comune
IT-AV0068;null;Biblioteca comunale di San Potito Ultra;Lammia 25;null;83050;San Potito Ultra;64086;Avellino;CAMPANIA;64;4.092.825;14.872.855;825981005;null;825981072;segreteria@comune.sanpotitoultra.av.it;www.comune.sanpotitoultra.av.it;Pubblica;Comune di San Potito Ultra;Comune
IT-AV0069;null;Biblioteca comunale Francesco Pallante;largo Castello, 1;null;83053;Sant'Andrea di Conza;64089;Avellino;CAMPANIA;64;408.431.785;153.705.517;82735010;null;82735004;null;www.comune.santandreadiconza.av.it/;Pubblica;Comune di Sant'Andrea di Conza;Comune
IT-AV0071;null;Biblioteca dell'Abbazia del Goleto;Contrada S. Guglielmo;null;83054;Sant'Angelo dei Lombardi;64092;Avellino;CAMPANIA;64;40.904.581;151.427.351;82724432;null;82724432;info@goleto.it;www.goleto.it/biblioteca.htm;Specializzata;Comunità Jesus Caritas Abbazia del Goleto;Enti ecclesiastici
IT-AV0073;null;Biblioteca comunale padre Alfredo Marrazzini;Via Roma;null;83020;Santa Lucia di Serino;64088;Avellino;CAMPANIA;64;408.708.094;148.756.915;825512831;null;825512831;protocollo@comune.santaluciadiserino.av.it;null;Pubblica;Comune di Santa Lucia di Serino;Comune
IT-AV0074;null;Biblioteca comunale;Via Cerro;null;83030;Santa Paolina;64093;Avellino;CAMPANIA;64;410.211.224;148.461.364;825964076;null;null;null;null;Pubblica;Comune di Santa Paolina;Comune
IT-AV0075;null;Biblioteca comunale;Corso Vittorio Emanuele;null;83030;Savignano Irpino;64096;Avellino;CAMPANIA;64;412.288.634;151.794.463;825867009;null;825867361;null;null;Pubblica;Comune di Savignano Irpino;Comune
IT-AV0076;null;Biblioteca del Convento di S. Francesco;Via S. Francesco;Sala;83028;Serino;64099;Avellino;CAMPANIA;64;408.589.027;148.726.023;825594291;null;0null;null;null;Specializzata;Frati minori OFM. Convento S. Francesco;Enti ecclesiastici
IT-AV0077;null;Biblioteca comunale;Piazza A. Colucci 1;null;83020;Sirignano;64100;Avellino;CAMPANIA;64;409.488.865;146.302.779;815111570;null;0null;null;null;Pubblica;Comune di Sirignano;Comune
IT-AV0078;null;Biblioteca comunale Renato Serra - Centro Studi di storia locale;Complesso Monumentale di Santa Chiara - via Regina Margherita, 5;null;83029;Solofra;64101;Avellino;CAMPANIA;64;408.294.919;148.446.597;825582414;null;825582494;bibliosolofra@libero.it;www.solofrastorica.it/biblioteca1.htm;Pubblica;Comune di Solofra;Comune
IT-AV0079;NAPSR;Biblioteca comunale Sperone;Piazza Luigi Lauro, 3;null;83020;Sperone;64103;Avellino;CAMPANIA;64;409.523.227;146.027.374;818251160;null;815103505;bibliotecasperone@virgilio.it;www.comune.sperone.av.it/index.php/informazioni;Pubblica;Comune di Sperone;Comune
IT-AV0080;null;Biblioteca comunale;Via Piana;null;83010;Summonte;64105;Avellino;CAMPANIA;64;40.949.555;147.444.977;825691191;null;null;null;null;Pubblica;Comune di Summonte;Comune
IT-AV0081;null;Biblioteca S. Giovanni del Palco;Via S. Giovanni del Palco 1;null;83020;Taurano;64106;Avellino;CAMPANIA;64;408.855.597;146.307.867;818240183;null;null;null;null;Specializzata;Frati minori OFM. Convento S. Giovanni del Palco di Taurano;Enti ecclesiastici
IT-AV0084;null;Biblioteca comunale monsignor Carlo Petrilli;Corso Umberto I;null;83058;Trevico;64112;Avellino;CAMPANIA;64;410.485.271;152.330.301;82796014;null;82796144;info@comune.trevico.av.it;www.comune.trevico.av.it/;Pubblica;Comune di Trevico;Comune
IT-AV0086;null;Biblioteca comunale popolare S. Guerriero;Via Piesco;null;83010;Tufo;64113;Avellino;CAMPANIA;64;410.117.532;148.246.313;825998071;null;null;null;null;Pubblica;Comune di Tufo;Comune
IT-AV0088;null;Biblioteca comunale;Via Fontana 125;null;83059;Vallata;64114;Avellino;CAMPANIA;64;410.380.019;152.512.504;82791008;null;82791870;null;null;Pubblica;Comune di Vallata;Comune
IT-AV0089;null;Biblioteca comunale Mons. Mario Colantuoni;piazza Aquilino Verardo, 7;Campanarello;83030;Venticano;64116;Avellino;CAMPANIA;64;410.458.863;149.103.822;825965033;null;825965380;vicesegretario@comune.venticano.av.it;www.comunediventicano.av.it;Pubblica;Comune di Venticano;Comune
IT-AV0090;null;Biblioteca comunale;Via Pozzo;null;83030;Villanova del Battista;64118;Avellino;CAMPANIA;64;411.171.881;151.580.729;825826015;null;null;null;null;Pubblica;Comune di Villanova del Battista;Comune
IT-AV0091;null;Biblioteca comunale. Centro di lettura permanente;Via Orti, presso Scuola elementare;null;83030;Zungoli;64120;Avellino;CAMPANIA;64;41.122.615;1.520.322;825845037;null;null;null;null;Pubblica;Comune di Zungoli;Comune
IT-AV0092;null;Biblioteca del Convento francescano Ss. Annunziata;Corso Vittorio Emanuele 36;null;83021;Avella;64007;Avellino;CAMPANIA;64;409.613.942;14.602.187;818251263;null;null;null;null;Specializzata;Frati minori OFM. Convento Ss. Annunziata di Avella;Enti ecclesiastici
IT-AV0093;null;Biblioteca del Centro di ricerca Guido Dorso per lo studio del pensiero meridionalistico;Via XXIII Novembre;null;83100;Avellino;64008;Avellino;CAMPANIA;64;409.128.397;147.871.004;82574953;null;82574949;null;null;Specializzata;Centro di ricerca Guido Dorso per la storia del pensiero meridionalistico;Accademie, associazioni, fondazioni, istituti (pubblici)
IT-AV0098;null;Biblioteca del Santuario S. Gerardo a Maiella;Via Santuario;Materdomini;83040;Caposele;64017;Avellino;CAMPANIA;64;40.815.971;152.330.056;82758118;null;82758498;null;null;Specializzata;Redentoristi. Santuario S. Gerardo a Maiella di Caposele;Enti ecclesiastici
IT-AV0099;null;Biblioteche riunite Gaspare Gozzi e Gabriele D'Annunzio dell'Accademia partenopea;Via Roma 78-80;null;83040;Gesualdo;64036;Avellino;CAMPANIA;64;4.100.554;1.507.195;825401000;null;815921530;null;null;Pubblica;Accademia partenopea. Ateneo filologico;Accademie, associazioni, fondazioni, istituti (pubblici)
IT-AV0101;NAPMM;Biblioteca diocesana di Montevergine;c/o Santuario di Montevergine;null;83013;Mercogliano;64049;Avellino;CAMPANIA;64;409.225.197;147.442.136;null;null;null;bibliotecamontevergine@virgilio.it;null;Importante non specializzata;Diocesi di Montevergine;Enti ecclesiastici
IT-AV0102;CAMME;Biblioteca Maria Santissima di Montevergine;via Ramiro Marcone, 56;null;83013;Mercogliano;64049;Avellino;CAMPANIA;64;409.219.631;147.170.954;825787038;null;null;bibliomariassmt@virgilio.it;www.bibliotecasuoremontevergine.it;Importante non specializzata;Suore benedettine di Maria Santissima di Montevergine;Enti ecclesiastici
IT-AV0105;null;Biblioteca dei Padri Cappuccini di S. Egidio;Via S. Egidio, 17;null;83030;Montefusco;64056;Avellino;CAMPANIA;64;41.035.049;14.852.745;82796271;null;null;tinaespo2013@gmail.com;null;Specializzata;Provincia dei Frati Minori Cappuccini di Foggia;Enti ecclesiastici
IT-AV0106;PBE65;Biblioteca San Francesco;Via S. Francesco;null;83048;Montella;64057;Avellino;CAMPANIA;64;408.458.631;150.396.881;82761218;null;82761218;agnus@francescani.it;www.francescani.it;Importante non specializzata;Convento San Francesco a Folloni dei Frati Minori Conventuali;Enti ecclesiastici
IT-AV0108;null;Biblioteca comunale Antonio Marini;Via Mulino Vecchio, 1;null;83018;San Martino Valle Caudina;64083;Avellino;CAMPANIA;64;410.247.388;14.662.922;824841214;null;824841333;segreteria@sanmartinovc.it;null;Pubblica;Comune di San Martino Valle Caudina;Comune
IT-AV0111;null;Biblioteca comunale;Via Fontanatetta;null;83100;Avellino;64008;Avellino;CAMPANIA;64;4.092.186.305;1.481.845.379;825200442;null;null;null;null;Pubblica;Comune di Avellino;Comune
IT-AV0112;null;Biblioteca comunale S. Tommaso. III circoscrizione;Piazza don Sturzo 12;null;83100;Avellino;64008;Avellino;CAMPANIA;64;40.904.545;147.966.965;8252004444;null;null;null;null;Pubblica;Comune di Avellino;Comune
IT-AV0113;null;Biblioteca della Camera di commercio, industria, artigianato e agricoltura - CCIAA;Viale Cassitto 7;null;83100;Avellino;64008;Avellino;CAMPANIA;64;40.912.426;147.849.146;82531091;null;82537252;null;null;Specializzata;Camera di commercio, industria, artigianato e agricoltura - CCIAA di Avellino;Camere di commercio, industria, artigianato
IT-AV0114;NAPVC;Biblioteca comunale Mariano Lepore;Piazza Roma;null;83050;Volturara Irpina;64119;Avellino;CAMPANIA;64;4.087.856.584;1.491.685.585;825984024;null;825984216;comunevolturarairpina@gmail.com;www.comune.volturarairpina.av.it/;Pubblica;Comune di Volturara Irpina;Comune
IT-AV0115;null;Biblioteca Guerriera Guerrieri;Via N. Sauro 38;null;83052;Paternopoli;64070;Avellino;CAMPANIA;64;40.972.589;150.314.312;82771592;null;null;null;null;Pubblica;Centro polivalente assistenza sociale;Accademie, associazioni, fondazioni, istituti, societa' (privati)
IT-AV0116;null;Biblioteca Comunale don Gaetano Cipriano;Via S. Nicola;null;83050;Rocca San Felice;64079;Avellino;CAMPANIA;64;409.498.717;151.659.665;82745031;null;82745031;roccasanfelice@tiscalinet.it;null;Pubblica;Comune di Rocca San Felice;Comune
IT-AV0117;null;Biblioteca comunale;via Pirro De Luca, s.n.c.;null;83030;Montefusco;64056;Avellino;CAMPANIA;64;410.378.976;148.553.376;825964003;null;825964643;panza@comune.montefusco.av.it;www.comune.montefusco.av.it/?page_id=643;Pubblica;Comune di Montefusco;Comune
IT-AV0118;null;Biblioteca comunale;Piazza Sanità;null;83040;Caposele;64017;Avellino;CAMPANIA;64;40.817.261;152.215.795;82753024;null;null;null;null;Pubblica;Comune di Caposele;Comune
IT-AV0119;null;Biblioteca comunale;Via principe di Piemonte;null;83041;Aquilonia;64004;Avellino;CAMPANIA;64;409.871.955;154.744.111;82783004;null;null;null;null;Pubblica;Comune di Aquilonia;Comune
IT-AV0120;null;Biblioteca del Centro rete del Sistema bibliotecario provinciale;Corso Europa 71;null;83100;Avellino;64008;Avellino;CAMPANIA;64;409.126.536;147.874.214;825782382;null;null;null;null;Importante non specializzata;Provincia di Avellino;Provincia
IT-AV0121;null;Biblioteca comunale Alfonso Menna;Piazza V. Ferrante 29;null;83020;Domicella;64031;Avellino;CAMPANIA;64;40.879.779;145.867.566;818253918;null;null;null;null;Pubblica;Comune di Domicella;Comune
IT-AV0122;null;Biblioteca del Palazzo vescovile;Piazza De Sanctis;null;83046;Lacedonia;64041;Avellino;CAMPANIA;64;410.502.565;154.231.425;82785081;null;null;null;null;Specializzata;Curia vescovile. di Ariano Irpino - Lacedonia;Enti ecclesiastici
IT-AV0123;NAP88;Biblioteca del Conservatorio statale di musica Domenico Cimarosa;Via Circumvallazione 156;null;83100;Avellino;64008;Avellino;CAMPANIA;64;409.172.996;147.961.705;82530622;null;825780074;tiziana.grande@conservatoriocimarosa.org;www.conservatoriocimarosa.org;Specializzata;Conservatorio statale di musica Domenico Cimarosa;Presidenza del consiglio dei ministri e ministeri
IT-AV0124;null;Biblioteca comunale;Piazza del Giudice;null;83040;Candida;64016;Avellino;CAMPANIA;64;409.423.644;148.750.115;825981024;null;null;null;null;Pubblica;Comune di Candida;Comune
IT-AV0125;null;Biblioteca comunale;Via C. Colombo 9;null;83020;Moschiano;64064;Avellino;CAMPANIA;64;408.739.743;146.557.041;815104532;null;null;null;null;Pubblica;Comune di Moschiano;Comune
IT-AV0126;NAPFR;Biblioteca civica Can. Marciano De Leo;c/o Casa della Cultura - via Roma, 5;null;83040;Frigento;64035;Avellino;CAMPANIA;64;410.195.247;151.114.698;825444004;null;825444123;bcmdeleo.frigento@gmail.it;www.facebook.com/bcmdeleo.frigento;Pubblica;Comune di Frigento;Comune
IT-AV0127;null;Biblioteca comunale;Via XXIV Maggio;null;83036;Mirabella Eclano;64050;Avellino;CAMPANIA;64;41.042.125;1.499.473;825438077;null;null;null;null;Pubblica;Comune di Mirabella Eclano;Comune
IT-AV0128;null;Biblioteca comunale;Via A. Gramsci;null;83050;San Nicola Baronia;64085;Avellino;CAMPANIA;64;410.590.764;151.997.417;82792034;null;null;null;null;Pubblica;Comune di San Nicola Baronia;Comune
IT-AV0129;null;Biblioteca del Centro di lettura;Via Provinciale, presso Scuola elementare;null;83050;San Mango sul Calore;64082;Avellino;CAMPANIA;64;40.962.479;14.974.240;82775355;null;null;null;null;Pubblica;Comune di Mango sul Calore;Comune
IT-AV0130;null;Biblioteca comunale;Via Pepe 15;null;83030;Montaguto;64051;Avellino;CAMPANIA;64;412.488.152;15.249.656;825862014;null;null;null;null;Pubblica;Comune di Montaguto;Comune
IT-AV0131;null;Biblioteca comunale Dante Alighieri;Piazza della Repubblica;null;83030;Melito Irpino;64048;Avellino;CAMPANIA;64;411.006.523;150.520.313;825472469;null;null;null;null;Pubblica;Comune di Melito Irpino;Comune
IT-AV0132;null;Biblioteca comunale;Via Città di Contra;null;83050;Scampitella;64097;Avellino;CAMPANIA;64;41.091.687;152.999.452;82793385;null;null;null;null;Pubblica;Comune di Scampitella;Comune
IT-AV0133;null;Biblioteca comunale. V circoscrizione;Rione Aversa;null;83100;Avellino;64008;Avellino;CAMPANIA;64;409.128.397;147.871.004;825200477;null;null;null;null;Pubblica;Comune di Avellino;Comune
IT-AV0134;null;Biblioteca del Centro di educazione permanente;Piazza M. Imbriani;null;83016;Roccabascerana;64078;Avellino;CAMPANIA;64;410.245.497;147.270.457;825993048;null;null;null;null;Pubblica;Comune di Roccabascerana;Comune

